tambon_th,tambon_en,province_th,province_en,latitude,longitude,st_no,men,women
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.546,99.706,6,4,2
มาบตาพุด,Maptaphut,ระยอง,Rayong,12.646,101.171,115,55,60
มาบตาพุด,Maptaphut,ระยอง,Rayong,12.645,101.17,115,55,60
มาบตาพุด,Maptaphut,ระยอง,Rayong,12.649,101.174,115,55,60
มาบตาพุด,Maptaphut,ระยอง,Rayong,12.644,101.169,115,55,60
หาดทรายรี,HatSaiRi,ชุมพร,Chumphon,10.459,99.403,7,3,4
ด่านสวี,DanSawi,ชุมพร,Chumphon,10.291,99.241,6,3,3
ท่าตูม,ThaTum,มหาสารคาม,Maha Sarakham,16.162,103.484,1,1,0
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.708,99.675,246,128,118
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.796,99.713,246,128,118
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.677,99.659,246,128,118
สัตหีบ,Sattahip,ชลบุรี,Chon Buri,12.611,100.889,146,103,43
สัตหีบ,Sattahip,ชลบุรี,Chon Buri,12.611,100.889,85,51,34
ตะเสะ,Tase,ตรัง,Trang,7.033,99.449,4,2,2
หาดทรายรี,HatSaiRi,ชุมพร,Chumphon,10.477,99.369,7,3,4
ปากคลอง,PakKhlong,ชุมพร,Chumphon,10.862,99.486,1,1,0
ปากตะโก,PakTako,ชุมพร,Chumphon,10.165,99.176,3,2,1
ปากคลอง,PakKhlong,ชุมพร,Chumphon,10.8,99.538,1,1,0
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.672,99.844,6,4,2
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.767,99.668,246,128,118
หาดทรายรี,HatSaiRi,ชุมพร,Chumphon,10.466,99.359,7,3,4
ปากตะโก,PakTako,ชุมพร,Chumphon,10.131,99.165,3,2,1
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.705,99.799,6,4,2
ตะเสะ,Tase,ตรัง,Trang,6.984,99.473,4,2,2
ด่านสวี,DanSawi,ชุมพร,Chumphon,10.197,99.221,6,3,3
ปากตะโก,PakTako,ชุมพร,Chumphon,10.118,99.216,3,2,1
ตะเสะ,Tase,ตรัง,Trang,7.067,99.398,4,2,2
ปากคลอง,PakKhlong,ชุมพร,Chumphon,10.782,99.53,1,1,0
บางกะไชย,BangKachai,จันทบุรี,Chanthaburi,12.465,102.066,18,12,6
ตะเสะ,Tase,ตรัง,Trang,7.016,99.445,4,2,2
ปากคลอง,PakKhlong,ชุมพร,Chumphon,10.84,99.497,1,1,0
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.71,99.794,6,4,2
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.707,99.676,246,128,118
เกาะพระทอง,KoPhraThong,พังงา,Phang-nga,9.406,97.901,163,67,96
แสมสาร,SamaeSan,ชลบุรี,Chon Buri,12.616,100.918,70,38,32
ตะเสะ,Tase,ตรัง,Trang,7.075,99.451,4,2,2
เกาะหมาก,KoMak,ตราด,Trat,11.817,102.397,12,7,5
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.551,99.694,246,128,118
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.582,99.719,6,4,2
เกาะพระทอง,KoPhraThong,พังงา,Phang-nga,9.495,97.874,163,67,96
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.551,99.35,6,4,2
เกาะหมาก,KoMak,ตราด,Trat,11.805,102.376,12,7,5
เกาะหมาก,KoMak,ตราด,Trat,11.857,102.525,12,7,5
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.681,99.677,246,128,118
กำพวน,Kamphuan,ระนอง,Ranong,9.401,98.392,201,110,91
เกาะนก,,ตรัง,Trang,7.272,99.475,,,
ดอนสัก,DonSak,สุราษฎร์ธานี,Surat Thani,9.31,99.66,31,21,10
ดอนสัก,DonSak,สุราษฎร์ธานี,Surat Thani,9.31,99.66,61,29,32
ด่านสวี,DanSawi,ชุมพร,Chumphon,10.247,99.249,6,3,3
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.699,99.68,246,128,118
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.675,99.833,6,4,2
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.709,99.676,246,128,118
เกาะหมาก,KoMak,ตราด,Trat,11.815,102.398,12,7,5
เกาะหมาก,KoMak,ตราด,Trat,11.819,102.402,12,7,5
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.696,99.662,246,128,118
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.542,99.164,6,4,2
เกาะหมาก,KoMak,ตราด,Trat,11.858,102.523,12,7,5
เกาะลิบง,KoLibong,ตรัง,Trang,7.303,99.394,5,3,2
เกาะแก้ว,KoKaeo,ภูเก็ต,Phuket,7.924,98.455,107,81,26
ด่านสวี,DanSawi,ชุมพร,Chumphon,10.222,99.243,6,3,3
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.524,99.269,6,4,2
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.706,99.675,246,128,118
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.661,99.659,246,128,118
เกาะพระทอง,KoPhraThong,พังงา,Phang-nga,9.472,97.876,163,67,96
หาดทรายรี,HatSaiRi,ชุมพร,Chumphon,10.486,99.418,7,3,4
กำพวน,Kamphuan,ระนอง,Ranong,9.5,98.374,201,110,91
เกาะหมาก,KoMak,ตราด,Trat,11.808,102.378,12,7,5
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.515,99.174,6,4,2
หาดทรายรี,HatSaiRi,ชุมพร,Chumphon,10.506,99.425,7,3,4
ไม้ฝาด,MaiFat,ตรัง,Trang,7.47,99.32,12,7,5
ศรีราชา,SiRacha,ชลบุรี,Chon Buri,13.174,100.92,89,53,36
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.681,99.667,246,128,118
หาดทรายรี,HatSaiRi,ชุมพร,Chumphon,10.349,99.295,7,3,4
เขาทอง,KhaoThong,กระบี่,Krabi,8.049,98.676,32,19,13
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.485,99.366,6,4,2
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.655,99.876,6,4,2
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.676,99.664,246,128,118
ด่านสวี,DanSawi,ชุมพร,Chumphon,10.208,99.249,6,3,3
ดอนสัก,DonSak,สุราษฎร์ธานี,Surat Thani,9.351,99.72,31,21,10
ดอนสัก,DonSak,สุราษฎร์ธานี,Surat Thani,9.351,99.72,61,29,32
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.704,99.871,6,4,2
ปากน้ำ,PakNam,ชุมพร,Chumphon,10.448,99.253,16,10,6
ปากน้ำ,PakNam,ชุมพร,Chumphon,10.448,99.253,62,37,25
ตะเสะ,Tase,ตรัง,Trang,7.144,99.639,4,2,2
เกาะหมาก,KoMak,ตราด,Trat,11.81,102.376,12,7,5
ปากตะโก,PakTako,ชุมพร,Chumphon,10.132,99.163,3,2,1
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.702,99.664,246,128,118
ด่านสวี,DanSawi,ชุมพร,Chumphon,10.296,99.247,6,3,3
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.514,99.173,6,4,2
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.504,99.182,6,4,2
